UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,TokenizedTweet,Cleantweet
15,44967,"Washington, DC",04-03-2020,"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0",Positive,"['While', 'we', 'were', 'busy', 'watching', 'election', 'returns', 'and', 'bracing', 'for', 'a', 'Covid-19', 'outbreak', ',', 'Trump', 'nominated', 'a', 'chemical-industry', 'lobbyist', 'to', 'head', 'the', 'Consumer', 'Product', 'Safety', 'Commission', 'https', ':', '//t.co/M2ShHI1Tn0']","busy watching election returns bracing Covid-19 outbreak, Trump nominated chemical-industry lobbyist head Consumer Product Safety Commission https://t.co/M2ShHI1Tn0"
16,44968,Bengaluru ,04-03-2020,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Extremely Negative,"['#', 'AirSewa', '@', 'flyspicejet', 'is', 'not', 'providing', '#', 'webchecin', 'customers', 'free', 'seats', '.', 'Passengers', 'are', 'forced', 'to', 'choose', 'paid', 'seats', 'as', 'free', 'seats', 'are', 'made', 'available', 'only', 'at', 'airport', 'counter', '.', 'This', 'should', 'be', 'stopped', 'as', 'it\x92s', 'discriminatory', 'and', 'against', 'travellers', 'rights', '@', 'HardeepSPuri', '@', 'MoCA_GoI']",#AirSewa @flyspicejet providing #webchecin customers free seats. Passengers forced choose paid seats free seats made available airport counter. stopped its discriminatory travellers rights @HardeepSPuri @MoCA_GoI
17,44969,Mumbai,05-03-2020,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY",Extremely Positive,"['What', 'Precautionary', 'measures', 'have', 'you', 'all', 'taken', 'in', 'your', 'respective', 'Restaurants', 'and', 'Hotels', ',', 'Comment', 'below', '...', '#', 'COVID-19', '#', 'Coronavirus', 'COVID-19', ':', 'Hotel', 'chains', 'enforce', 'precautionary', 'measures', ',', 'issue', 'safety', ',', 'hygiene', 'advisories', 'https', ':', '//t.co/7Zo2vqSPzY']","Precautionary measures taken respective Restaurants Hotels, Comment below... #COVID-19 #Coronavirus COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories https://t.co/7Zo2vqSPzY"
18,44970,"Toronto, Ontario",05-03-2020,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral,"['When', 'you\x92re', 'stockpiling', 'food', '&', 'amp', ';', 'other', 'supplies', ',', 'buy', 'extra', 'for', 'your', 'local', 'food', 'bank', '.', 'Many', 'families', 'don\x92t', 'have', 'the', 'luxury', 'to', 'spend', 'beyond', 'their', 'weekly', 'budget', '.', '@', 'DailyBreadTO', '#', 'coronavirus']","youre stockpiling food &amp; supplies, buy extra local food bank. Many families dont luxury spend beyond weekly budget. @DailyBreadTO #coronavirus"
20,44972,Tallahassee,05-03-2020,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",Extremely Positive,"['Studies', 'show', 'the', '#', 'coronavirus', 'like', '#', 'COVID19', 'can', 'live', 'up', 'to', 'nine', 'days', 'on', 'hard', 'surfaces', 'like', 'metal', ',', 'plastic', ',', 'and', 'glass', '.', 'Our', 'Deputy', 'Commissioner', 'of', 'Consumer', 'Affairs', 'Mary', 'Barzee', 'Flores', 'shows', 'you', 'how', 'to', 'keep', 'clean', 'at', 'the', 'gas', 'pump', '.', 'Watch', 'and', 'share', '?', 'https', ':', '//t.co/AIqATWT5zz']","Studies show #coronavirus like #COVID19 live nine days hard surfaces like metal, plastic, glass. Deputy Commissioner Consumer Affairs Mary Barzee Flores shows keep clean gas pump. Watch share? https://t.co/AIqATWT5zz"
21,44973,Malta,05-03-2020,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",Negative,"['#', 'CoronaVirus', '#', 'COVID_19', 'People', 'are', 'starting', 'to', 'become', 'frightened', 'and', 'to', 'do', '#', 'PanicShopping', '.', 'Many', 'shelves', ',', 'meanwhile', ',', 'turn', 'empty', 'as', '#', 'goods', 'are', 'sold', '.', '#', 'FaceMasks', '&', 'amp', ';', 'disinfection', 'liquid', 'are', 'sold', 'out', ',', 'or', 'they', 'are', 'sold', 'for', 'exorbitant', 'prices', '!', '#', 'Blockchain', '#', 'CryptoNews', 'https', ':', '//t.co/AkR3lmLEKf']","#CoronaVirus #COVID_19 People starting become frightened #PanicShopping. Many shelves, meanwhile, turn empty #goods sold. #FaceMasks &amp; disinfection liquid sold out, sold exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf"
22,44974,"Texas, USA",05-03-2020,"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",Extremely Positive,"['For', 'those', 'of', 'you', 'that', 'think', 'credit/debit', 'is', 'just', 'as', 'good', 'as', '#', 'bitcoin', 'when', 'it', 'comes', 'to', 'combating', '#', 'coronavirus', ',', 'keep', 'in', 'mind', 'that', 'this', 'is', 'not', 'a', '``', 'contactless', 'transaction', '.', ""''"", 'How', 'many', 'people', 'at', 'your', 'grocery', 'store', 'or', 'gas', 'station', 'touch', 'this', 'keypad', 'every', 'day', '?', 'https', ':', '//t.co/WVq8bb9OlS']","think credit/debit good #bitcoin comes combating #coronavirus, keep mind ""contactless transaction."" many people grocery store gas station touch keypad every day? https://t.co/WVq8bb9OlS"
23,44975,"Florida, USA",06-03-2020,Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,Extremely Positive,"['Control', 'over', 'stocks', 'and', 'gold', 'is', 'lost', '...', 'gold', 'coming', 'back', 'very', 'nicely', '!', 'Loves', 'wallbridge', 'and', 'Balmoral', 'and', 'warns', 'listeners', 'about', '#', 'coronavirus', 'Sprott', 'Money', 'Ltd.', 'recently', 'put', 'in', 'money', 'to', '$', 'OCG', '$', 'GENM', '$', 'MMG', 'and', 'many', 'more', '...', 'https', ':', '//t.co/3aURZ2e4Sj']",Control stocks gold lost...gold coming back nicely! Loves wallbridge Balmoral warns listeners #coronavirus Sprott Money Ltd. recently put money $OCG $GENM $MMG many more... https://t.co/3aURZ2e4Sj
24,44976,Chandigarh,06-03-2020,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",Extremely Positive,"['Sellers', 'are', 'cashing', 'on', 'your', 'panic', 'to', 'sell', 'facemasks', 'and', 'sanitizers', 'at', 'super', 'inflated', 'prices', '.', 'In', 'reality', ',', 'neither', 'sanitizer', 'nor', 'facemasks', 'are', '``', 'must', 'have', ""''"", 'to', 'save', 'yourself', 'from', '#', 'coronavirus', '.', 'Please', 'watch', 'this', 'video', 'for', 'more', ':', 'https', ':', '//t.co/sgOFnAu4j8']","Sellers cashing panic sell facemasks sanitizers super inflated prices. reality, neither sanitizer facemasks ""must have"" save #coronavirus. Please watch video : https://t.co/sgOFnAu4j8"
25,44977,Canada,07-03-2020,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",Extremely Negative,"[""Canada's"", 'oilpatch', 'is', 'bracing', 'for', 'the', 'impact', 'of', 'plunging', 'crude', 'prices', 'after', 'OPEC', 'and', 'its', 'allies', 'failed', 'to', 'reach', 'a', 'deal', 'aimed', 'at', 'cutting', 'production', 'as', 'economies', 'slow', 'because', 'of', 'the', 'novel', '#', 'coronavirus', '.', 'The', 'fool', '@', 'Jkenney', 'based', 'his', 'budget', 'on', 'hired', 'oil', 'prices', 'https', ':', '//t.co/fDCpQPvPuo']",Canada's oilpatch bracing impact plunging crude prices OPEC allies failed reach deal aimed cutting production economies slow novel #coronavirus. fool @Jkenney based budget hired oil prices https://t.co/fDCpQPvPuo
26,44978,"Wayne County, MI",07-03-2020,"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",Positive,"['Alright', 'y\x92all', 'I', 'hope', 'our', 'Melanin', 'prevails', 'but', 'just', 'in', 'case', 'I', 'took', 'some', 'precautions', 'I', 'had', 'some', 'food', '&', 'amp', ';', 'water', 'delivered', '.', '?', '?', '?', '?', '?', 'I\x92ve', 'had', 'my', 'masks', 'for', 'a', 'month', 'and', 'may', 'have', 'to', 'open', 'soon', '!', '?', '?', '#', 'B1', '#', 'FBA', '#', 'CoronavirusUSA', '#', 'COVID', 'https', ':', '//t.co/cTQMDgDgtD']",Alright yall hope Melanin prevails case took precautions food &amp; water delivered. ????? Ive masks month may open soon! ?? #B1 #FBA #CoronavirusUSA #COVID https://t.co/cTQMDgDgtD
27,44979,"Bondi Beach, Sydney",07-03-2020,When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,Negative,"['When', 'your', 'usual', 'grocery', 'shopping', '@', 'woolworths', 'turns', 'into', 'a', 'toilet', 'paper', 'fight', 'in', 'the', 'supermarket', 'aisle', '.', 'Yikes', '.', '#', 'toiletpaperpanic', 'for', 'the', '#', 'coronavirus', 'has', 'taken', 'a', 'whole', 'new', 'level', '.', 'https', ':', '//t.co/aKJ283I20C']",usual grocery shopping @woolworths turns toilet paper fight supermarket aisle. Yikes. #toiletpaperpanic #coronavirus taken whole new level. https://t.co/aKJ283I20C
30,44982,United States,07-03-2020,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",Positive,"['#', 'Coronavirus', 'is', '``', 'an', 'exposure', 'of', 'all', 'the', 'holes', 'in', 'the', 'social', 'safety', 'net', ',', ""''"", 'says', 'NELP', 'Government', 'Affairs', 'Director', 'Judy', 'Conti', '#', 'UI', '#', 'Unemployment', '#', 'PaidLeaveForAll', 'https', ':', '//t.co/BrCY9IJWSv']","#Coronavirus ""an exposure holes social safety net,"" says NELP Government Affairs Director Judy Conti #UI #Unemployment #PaidLeaveForAll https://t.co/BrCY9IJWSv"
31,44983,"New York, New York",07-03-2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative,"['Two', 'important', 'phone', 'numbers', 'NYers', 'should', 'know', '.', 'If', 'you', 'have', 'no', 'doctor', 'or', 'insurance', 'and', 'think', 'you', 'may', 'be', 'sick', 'and', 'need', 'to', 'be', 'tested', 'for', '#', 'coronavirus', ',', 'call', 'the', 'state', ""'s"", 'helpline', ':', '1-888-364-3065', '.', 'To', 'report', 'price', 'gouging', ',', 'call', 'the', 'Div', '.', 'of', 'Consumer', 'Protection', 'at', '1-800-697-1220', '.']","Two important phone numbers NYers know. doctor insurance think may sick need tested #coronavirus, call state's helpline: 1-888-364-3065. report price gouging, call Div. Consumer Protection 1-800-697-1220."
32,44984,"London, England",08-03-2020,"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",Extremely Positive,"['Tip', 'for', 'all', 'Pro', 'Wrestlers', 'to', 'help', 'combat', 'the', '#', 'coronavirus', '...', 'be', 'more', 'like', '@', 'ZoeLucasPro', 'and', 'bring', 'hand', 'sanitizer', 'to', 'your', 'matches', 'as', 'a', 'precaution', '#', 'EVEWrestling', '@', 'ProWrestlingEVE', 'https', ':', '//t.co/SUYUsaPm7j']",Tip Pro Wrestlers help combat #coronavirus...be like @ZoeLucasPro bring hand sanitizer matches precaution #EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j
33,44985,USA,08-03-2020,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",Extremely Negative,"['Is', 'this', 'effective', '?', 'Is', 'it', 'necessary', '?', 'Or', 'is', 'it', 'just', 'optics', '?', 'Scare', 'tactics', '?', 'For', 'the', 'American', 'consumer', '?', 'For', 'US', 'MSM', 'to', 'use', '?', 'If', 'optics', ',', 'What', 'is', 'the', 'intended', 'effect', '?', 'Fear', '?', 'Crash', 'US', 'Market-', '&', 'gt', ';', 'panic-', '&', 'gt', ';', 'elect', 'Biden', '#', 'Qanon', '#', 'coronavirus', 'https', ':', '//t.co/H48ZMfuAme']","effective? necessary? optics? Scare tactics? American consumer? US MSM use? optics, intended effect? Fear? Crash US Market-&gt;panic-&gt;elect Biden #Qanon #coronavirus https://t.co/H48ZMfuAme"
34,44986,"Toronto, Ontario",08-03-2020,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative,"['IMHO', 'Russia', ""'s"", 'rug', 'pull', 'on', 'oil', 'prices', 'is', 'designed', 'to', 'end', 'the', 'dollar', 'as', 'the', 'global', 'reserve', 'currency', '.', 'How', '?', 'Corp', 'debt', 'collapse', ',', 'led', 'by', 'high', 'yield', 'and', 'fracking', ',', 'compounded', 'by', 'COVID-19', ',', 'will', 'mean', 'Fed', 'and', 'US', 'Govt', 'respond', 'with', '#', 'MMT', '.', 'Ciao', 'dollar', '.', 'Alt', 'is', 'collapse', '.', 'Got', '#', 'Gold', 'or', '#', 'Silver', 'yet', '?']","IMHO Russia's rug pull oil prices designed end dollar global reserve currency. How? Corp debt collapse, led high yield fracking, compounded COVID-19, mean Fed US Govt respond #MMT. Ciao dollar. Alt collapse. Got #Gold #Silver yet?"
35,44987,"Angmering, West Sussex",08-03-2020,So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,Neutral,"['So', 'not', 'due', 'to', '#', 'Brexit', 'at', 'all', 'then', '&', 'gt', ';', '&', 'gt', ';', 'Supermarkets', 'begin', '#', 'foodrationing', 'after', 'wave', 'of', '#', 'coronavirus-fuelled', 'panic', 'buying', 'https', ':', '//t.co/AKgkHxO0tW']",due #Brexit &gt;&gt; Supermarkets begin #foodrationing wave #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW
36,44988,"Dont ask for freedom, take it.",08-03-2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Extremely Negative,"['Remember', ',', 'with', 'all', 'the', 'media', 'deflection', 'stories', 'about', 'bog', 'rolls', ',', 'panic-buying', ',', 'food', 'shortages', ',', 'Covid-19', ',', 'Irish', 'bridges', 'etc', 'etc', '.', 'We', ""'ve"", 'still', 'got', 'Brexit', ',', 'Austerity', ',', 'poverty', ',', 'a', 'crashing', 'economy', '&', 'amp', ';', 'the', 'worst', 'UK', 'Govt', 'in', 'living', 'memory', '.', 'All', 'depressing', 'stuff', '&', 'amp', ';', 'it', 'aint', 'gon', 'na', 'end', 'well', '.']","Remember, media deflection stories bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc. We've still got Brexit, Austerity, poverty, crashing economy &amp; worst UK Govt living memory. depressing stuff &amp; aint gonna end well."
37,44989,"New York, NY",08-03-2020,"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative,"['Fellow', 'Uni', 'instructors', '!', 'COVID-19', 'f2f', 'class', 'cancelations', 'are', 'inconvenient', '!', 'But', 'remember', 'you', ""'re"", 'salaried', 'employees', '.', 'Maybe', 'call/email', 'HR', 'or', 'your', 'union', '&', 'amp', ';', 'demand', 'to', 'know', 'how', 'hourly', 'workers', '(', 'clerical', ',', 'food-service', ',', 'custodial', ',', 'etc', ')', 'will', 'be', 'compensated', 'during', 'campus', 'closures', '?']","Fellow Uni instructors! COVID-19 f2f class cancelations inconvenient! remember salaried employees. Maybe call/email HR union &amp; demand know hourly workers (clerical, food-service, custodial, etc) compensated campus closures?"
